Rank,Title,Distributor,Domestic gross,Quarter,Opening,Opening.1,Production company,Cast and crew,Ref.,Month,Year,Domestic gross_clean
N/A,Taylor Swift: The Eras Tour,N/A,N/A,Table 5,,13.0,AMC Entertainment / Cinemark Theatres / Taylor Swift Productions,Sam Wrench (director); Taylor Swift,[247],N/A,2023,0.0
N/A,Dear David,N/A,N/A,Table 5,,13.0,Lionsgate / BuzzFeed Studios,"John McPhail (director); Mike Van Waes (screenplay); Augustus Prew, Andrea Bang, Justin Long",[248],N/A,2023,0.0
N/A,Divinity,N/A,N/A,Table 5,,13.0,Utopia,"Eddie Alcazar (director/screenplay); Stephen Dorff, Bella Thorne, Scott Bakula, Jason Genao, Moisés Arias, Karrueche Tran, Caylee Cowan",[249],N/A,2023,0.0
N/A,In the Fire,N/A,N/A,Table 5,,13.0,Saban Films,"Conor Allyn (director/screenplay); Pascal Borno, Silvio Muraglia (screenplay); Amber Heard, Eduardo Noriega, Lorenzo McGovern Zaini",[250],N/A,2023,0.0
N/A,Killers of the Flower Moon,N/A,N/A,Table 5,,20.0,Paramount Pictures / Apple Studios / Sikelia Productions / Appian Way Productions,"Martin Scorsese (director/screenplay); Eric Roth (screenplay); Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons, Tantoo Cardinal, John Lithgow, Brendan Fraser",[251],N/A,2023,0.0
N/A,Pain Hustlers,N/A,N/A,Table 5,,20.0,Netflix,"David Yates (director); Wells Tower (screenplay); Emily Blunt, Chris Evans, Andy García, Catherine O'Hara, Jay Duplass, Brian d'Arcy James, Chloe Coleman",[252],N/A,2023,0.0
N/A,Nyad,N/A,N/A,Table 5,,20.0,Netflix / Black Bear Pictures,"Elizabeth Chai Vasarhelyi, Jimmy Chin (directors); Julia Cox (screenplay); Annette Bening, Jodie Foster, Rhys Ifans",[253],N/A,2023,0.0
N/A,Old Dads,N/A,N/A,Table 5,,20.0,Netflix / Miramax,"Bill Burr (director/screenplay); Ben Tishler (screenplay); Bill Burr, Bobby Cannavale, Bokeem Woodbine, Miles Robbins, Katie Aselton, Reign Edwards",[254],N/A,2023,0.0
N/A,Butcher's Crossing,N/A,N/A,Table 5,,20.0,Saban Films / Altitude Film Entertainment,"Gabe Polsky (director/screenplay); Liam Satre-Meloy (screenplay); Nicolas Cage, Fred Hechinger, Xander Berkeley, Rachel Keller, Jeremy Bobb, Paul Raci",[255],N/A,2023,0.0
N/A,The Other Zoey,N/A,N/A,Table 5,,20.0,Brainstorm Media,"Sara Zandieh (director); Matt Tabak (screenplay); Josephine Langford, Drew Starkey, Archie Renaux, Mallori Johnson, Patrick Fabian, Heather Graham, Andie MacDowell",[256],N/A,2023,0.0
N/A,Sick Girl,N/A,N/A,Table 5,,20.0,Lionsgate / Grindstone Entertainment,"Jennifer Cram (director/screenplay); Nina Dobrev, Brandon Mychal Smith, Sherry Cola, Stephanie Koenig, Hayley Magnus, Ray McKinnon, Dan Bakkedahl, Wendi McLendon-Covey",[257],N/A,2023,0.0
N/A,The Persian Version,N/A,N/A,Table 5,,20.0,Sony Pictures Classics / Stage 6 Films,"Maryam Keshavarz (director/screenplay); Layla Mohammadi, Niousha Noor, Bijan Daneshmand, Bella Warda, Tom Byrne",[258],N/A,2023,0.0
N/A,Five Nights at Freddy's,N/A,N/A,Table 5,,27.0,Universal Pictures / Blumhouse Productions,"Emma Tammi (director/screenplay); Scott Cawthon, Seth Cuddeback (screenplay); Josh Hutcherson, Elizabeth Lail, Piper Rubio, Mary Stuart Masterson, Matthew Lillard",[259],N/A,2023,0.0
N/A,Under the Boardwalk,N/A,N/A,Table 5,,27.0,Paramount Pictures / Paramount Animation,"David Soren (director/screenplay); Lorene Scafaria (screenplay); Keke Palmer, Michael Cera, Bobby Cannavale",[260],N/A,2023,0.0
N/A,Freelance,N/A,N/A,Table 5,,27.0,Relativity Media / AGC Studios,"Pierre Morel (director); Jacob Lentz (screenplay); John Cena, Alison Brie, Juan Pablo Raba, Alice Eve, Marton Csokas, Christian Slater",[261],N/A,2023,0.0
N/A,The Holdovers,N/A,N/A,Table 5,,27.0,Focus Features / Miramax,"Alexander Payne (director); David Hemingson (screenplay); Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa",[262],N/A,2023,0.0
N/A,The Killer,N/A,N/A,Table 5,,27.0,Netflix / Plan B Entertainment / Boom! Studios,"David Fincher (director); Andrew Kevin Walker (screenplay); Michael Fassbender, Arliss Howard, Charles Parnell, Kerry O'Malley, Sala Baker, Sophie Charlotte, Tilda Swinton",[263],N/A,2023,0.0
N/A,Fingernails,N/A,N/A,Table 5,,27.0,Apple TV+ / FilmNation Entertainment / Dirty Films,"Christos Nikou (director/screenplay); Sam Steiner, Stavros Raptis (screenplay); Jessie Buckley, Riz Ahmed, Jeremy Allen White, Annie Murphy, Luke Wilson",[264],N/A,2023,0.0
N/A,Priscilla,N/A,N/A,Table 5,,27.0,A24 / American Zoetrope / The Apartment Pictures,"Sofia Coppola (director/screenplay); Cailee Spaeny, Jacob Elordi, Dagmara Domińczyk",[265],N/A,2023,0.0
N/A,Suitable Flesh,N/A,N/A,Table 5,,27.0,RLJE Films / Shudder,"Joe Lynch (director); Dennis Paoli (screenplay); Heather Graham, Judah Lewis, Bruce Davison, Johnathon Schaech, Barbara Crampton",[266],N/A,2023,0.0
N/A,Hell House LLC Origins: The Carmichael Manor,N/A,N/A,Table 5,,30.0,Shudder / Terror Films,"Stephen Cognetti (director/screenplay); Bridget Rose Perrotta, Destiny Leilani Brown, James Liddell, Gideon Berger",[267],N/A,2023,0.0
N/A,What Happened at 625 River Road?,N/A,N/A,Table 5,N O V E M B E R,2.0,Freestyle Digital Media,"Devon Jovi Johnson (director/screenplay); Allen Worrell (screenplay); Francheska Pujols, Summer Foley, Silvana Jakich, Piotr Marzecki, Matrell Smith",[268],N/A,2023,0.0
N/A,Quiz Lady,N/A,N/A,Table 5,N O V E M B E R,3.0,Hulu / 20th Century Studios / Gloria Sanchez Productions,"Jessica Yu (director); Jen D'Angelo (screenplay); Awkwafina, Sandra Oh, Jason Schwartzman, Holland Taylor, Tony Hale, Jon ""Dumbfoundead"" Park, Will Ferrell",[269],N/A,2023,0.0
N/A,Rustin,N/A,N/A,Table 5,N O V E M B E R,3.0,Netflix / Higher Ground Productions,"George C. Wolfe (director); Julian Breece, Dustin Lance Black (screenplay); Colman Domingo, Chris Rock, Glynn Turman, Aml Ameen, Gus Halper, CCH Pounder, Da'Vine Joy Randolph, Johnny Ramey, Michael Potts, Jeffrey Wright, Audra McDonald",[270],N/A,2023,0.0
N/A,The Marsh King's Daughter,N/A,N/A,Table 5,N O V E M B E R,3.0,Lionsgate / Roadside Attractions / STXfilms / Black Bear Pictures,"Neil Burger (director); Elle Smith, Mark L. Smith (screenplay); Daisy Ridley, Ben Mendelsohn, Garrett Hedlund, Caren Pistorius, Brooklynn Prince, Gil Birmingham",[271],N/A,2023,0.0
N/A,What Happens Later,N/A,N/A,Table 5,N O V E M B E R,3.0,Bleecker Street,"Meg Ryan (director/screenplay); Steven Dietz, Kirk Lynn (screenplay); Meg Ryan, David Duchovny",[272],N/A,2023,0.0
N/A,All Dirt Roads Taste of Salt,N/A,N/A,Table 5,N O V E M B E R,3.0,A24,"Raven Jackson (director/screenplay); Charleen McClure, Reginald Helms Jr., Moses Ingram, Zainab Jah, Sheila Atim, Chris Chalk",[273],N/A,2023,0.0
N/A,Helen's Dead,N/A,N/A,Table 5,N O V E M B E R,3.0,Screen Media,"K. Asher Levin (director/screenplay); Amy Brown Carver (screenplay); Annabelle Dexter-Jones, Tyrese Gibson, Emile Hirsch, Dylan Gelula, Oliver Cooper",[274],N/A,2023,0.0
N/A,At the Gates,N/A,N/A,Table 5,N O V E M B E R,3.0,Picturehouse,"Augustus Meleo Bernstein (director/screenplay); Miranda Otto, Noah Wyle, Ezekiel Pacheco, Vanessa Benavente, Sadie Anne Stanley",[275],N/A,2023,0.0
N/A,Rumble Through the Dark,N/A,N/A,Table 5,N O V E M B E R,3.0,Lionsgate,"Graham Phillips and Parker Phillips (directors); Michael Farris Smith; (screenplay); Aaron Eckhart, Bella Thorne, Ritchie Coster, Amanda Saunders, Joe Hursley, Mike McColl, Derek Russo, Christopher Winchester, Marianne Jean-Baptiste",[276],N/A,2023,0.0
N/A,The Marvels,N/A,N/A,Table 5,N O V E M B E R,10.0,Marvel Studios,"Nia DaCosta (director/screenplay); Megan McDonnell, Elissa Karasik (screenplay); Brie Larson, Teyonah Parris, Iman Vellani, Zawe Ashton, Gary Lewis, Park Seo-joon, Zenobia Shroff, Mohan Kapur, Saagar Shaikh, Samuel L. Jackson",[166],N/A,2023,0.0
N/A,Dream Scenario,N/A,N/A,Table 5,N O V E M B E R,10.0,A24,"Kristoffer Borgli (director/screenplay); Nicolas Cage, Julianne Nicholson, Michael Cera, Tim Meadows, Dylan Gelula, Dylan Baker",[277],N/A,2023,0.0
N/A,Journey to Bethlehem,N/A,N/A,Table 5,N O V E M B E R,10.0,Affirm Films,"Adam Anders (director/screenplay); Peter Barsocchini (screenplay); Fiona Palomo, Milo Manheim, Lecrae, Joel Smallbone, Antonio Banderas",[278],N/A,2023,0.0
N/A,Your Lucky Day,N/A,N/A,Table 5,N O V E M B E R,10.0,Well Go USA Entertainment,"Dan Brown (director/screenplay); Angus Cloud, Jessica Garza, Elliot Knight, Jason O'Mara, Sterling Beaumon, Jason Wiles, Spencer Garrett",[279],N/A,2023,0.0
N/A,It's a Wonderful Knife,N/A,N/A,Table 5,N O V E M B E R,10.0,RLJE Films / Shudder,"Tyler MacIntyre (director); Michael Kennedy (screenplay); Joel McHale, Justin Long, Jane Widdop, Katharine Isabelle, Jess McLeod, Cassandra Naud",[280],N/A,2023,0.0
N/A,Manodrome,N/A,N/A,Table 5,N O V E M B E R,10.0,Lionsgate,"John Trengove (director/screenplay); Jesse Eisenberg, Adrien Brody, Odessa Young, Sallieu Sesay, Philip Ettinger, Ethan Suplee, Evan Jonigkeit, Caleb Eberhardt",[281],N/A,2023,0.0
N/A,The Master Chief: Part One,N/A,N/A,Table 5,N O V E M B E R,10.0,Albea Embestro Soriano,"Chris Soriano (director/screenplay); Chris Soriano, Haley Weber, Hillary Soriano, Ryan Barrier",[282],N/A,2023,0.0
N/A,Best. Christmas. Ever!,N/A,N/A,Table 5,N O V E M B E R,16.0,Netflix,"Mary Lambert (director); Charles Shyer, Todd Calgi Gallicano (screenplay); Brandy Norwood, Heather Graham, Matt Cedeño, Jason Biggs",[283],N/A,2023,0.0
N/A,The Hunger Games: The Ballad of Songbirds & Snakes,N/A,N/A,Table 5,N O V E M B E R,17.0,Lionsgate / Color Force,"Francis Lawrence (director); Michael Lesslie, Michael Arndt (screenplay); Tom Blyth, Rachel Zegler, Peter Dinklage, Jason Schwartzman, Hunter Schafer, Josh Andrés Rivera, Viola Davis",[284],N/A,2023,0.0
N/A,Trolls Band Together,N/A,N/A,Table 5,N O V E M B E R,17.0,Universal Pictures / DreamWorks Animation,"Walt Dohrn (director); Elizabeth Tippet (screenplay); Anna Kendrick, Justin Timberlake, Kenan Thompson, Kunal Nayyar, Camila Cabello, Eric Andre, Troye Sivan, Kid Cudi, Andrew Rannells, Amy Schumer, Daveed Diggs, RuPaul, Zosia Mamet",[285],N/A,2023,0.0
N/A,Thanksgiving,N/A,N/A,Table 5,N O V E M B E R,17.0,TriStar Pictures / Spyglass Media Group,"Eli Roth (director); Jeff Rendell (screenplay); Patrick Dempsey, Addison Rae, Milo Manheim, Jalen Thomas Brooks, Nell Verlaquel, Rick Hoffman, Gina Gershon",[286],N/A,2023,0.0
N/A,Next Goal Wins,N/A,N/A,Table 5,N O V E M B E R,17.0,Searchlight Pictures / The Imaginarium,"Taika Waititi (director/screenplay); Iain Morris (screenplay); Michael Fassbender, Oscar Kightley, Kaimana, David Fane, Rachel House, Beulah Koale, Will Arnett, Elisabeth Moss",[287],N/A,2023,0.0
N/A,Saltburn,N/A,N/A,Table 5,N O V E M B E R,17.0,Metro-Goldwyn-Mayer / MRC / LuckyChap Entertainment,"Emerald Fennell (director/screenplay); Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant, Alison Oliver, Archie Madekwe, Carey Mulligan",[288],N/A,2023,0.0
N/A,May December,N/A,N/A,Table 5,N O V E M B E R,17.0,Netflix / Gloria Sanchez Productions / Killer Films,"Todd Haynes (director); Samy Burch (screenplay); Natalie Portman, Julianne Moore, Charles Melton, Cory Michael Smith",[289],N/A,2023,0.0
N/A,Dashing Through the Snow,N/A,N/A,Table 5,N O V E M B E R,17.0,Disney+ / Walt Disney Pictures / Will Packer Productions,"Tim Story (director); Scott Rosenberg (screenplay); Lil Rel Howery, Ludacris, Madison Skye Validum, Teyonah Parris, Oscar Nunez",[290],N/A,2023,0.0
N/A,Please Don't Destroy: The Treasure of Foggy Mountain,N/A,N/A,Table 5,N O V E M B E R,17.0,Peacock / Universal Pictures / Apatow Productions,"Paul Briganti (director); Ben Marshall, John Higgins, Martin Herlihy (screenplay); Ben Marshall, John Higgins, Martin Herlihy, Meg Stalter, X Mayo, Bowen Yang, Conan O'Brien",[291],N/A,2023,0.0
N/A,Leo,N/A,N/A,Table 5,N O V E M B E R,21.0,Netflix / Netflix Animation / Happy Madison Productions,"Robert Smigel, Robert Marianetti, David Wachtenheim (directors); Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander, Rob Schneider, Stephanie Hsu",[292],N/A,2023,0.0
N/A,Wish,N/A,N/A,Table 5,N O V E M B E R,22.0,Walt Disney Pictures / Walt Disney Animation Studios,"Chris Buck, Fawn Veerasunthorn (directors); Jennifer Lee, Allison Moore (screenplay); Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral, Victor Garber, Natasha Rothwell, Jennifer Kumiyama, Harvey Guillén, Evan Peters, Ramy Youssef, Jon Rudnitsky",[293],N/A,2023,0.0
N/A,Napoleon,N/A,N/A,Table 5,N O V E M B E R,22.0,Columbia Pictures / Apple Studios / Scott Free Productions,"Ridley Scott (director); David Scarpa (screenplay); Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Ben Miles, Rupert Everett",[294],N/A,2023,0.0
N/A,Maestro,N/A,N/A,Table 5,N O V E M B E R,22.0,Netflix / Sikelia Productions / Amblin Entertainment,"Bradley Cooper (director/screenplay); Josh Singer (screenplay); Carey Mulligan, Bradley Cooper, Matt Bomer, Maya Hawke, Sarah Silverman",[295],N/A,2023,0.0
N/A,Leave the World Behind,N/A,N/A,Table 5,N O V E M B E R,22.0,Netflix / Higher Ground Productions,"Sam Esmail (director/screenplay); Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la Herrold, Farrah Mackenzie, Charlie Evans, Kevin Bacon",[296],N/A,2023,0.0
N/A,Good Burger 2,N/A,N/A,Table 5,N O V E M B E R,22.0,Paramount+ / Nickelodeon Movies,"Phil Traill (director); Kevin Kopelow, Heath Seifert, James III (screenplay); Kenan Thompson, Kel Mitchell",[297],N/A,2023,0.0
N/A,Genie,N/A,N/A,Table 5,N O V E M B E R,22.0,Peacock / Universal Pictures / Working Title Films,"Sam Boyd (director); Richard Curtis (screenplay); Melissa McCarthy, Paapa Essiedu, Denée Benton, Marc Maron, Jordyn McIntosh, Luis Guzmán, Alan Cumming",[298],N/A,2023,0.0
N/A,Family Switch,N/A,N/A,Table 5,N O V E M B E R,30.0,Netflix / Wonderland Sound and Vision,"McG (director); Adam Sztykiel, Victoria Strouse (screenplay); Jennifer Garner, Ed Helms, Emma Myers, Brady Noon, Rita Moreno",[299],N/A,2023,0.0
N/A,Renaissance: A Film by Beyoncé,N/A,N/A,Table 5,D E C E M B E R,1.0,AMC Entertainment / Parkwood Entertainment,"Beyoncé (director); Beyoncé, Blue Ivy Carter, Megan Thee Stallion, Kendrick Lamar, Diana Ross, Jay-Z, Kelly Rowland, Michelle Williams, LaTavia Roberson, LeToya Luckett, Tina Knowles",[300],N/A,2023,0.0
N/A,Silent Night,N/A,N/A,Table 5,D E C E M B E R,1.0,Lionsgate / Thunder Road Films,"John Woo (director); Robert Archer Lynn (screenplay); Joel Kinnaman, Scott Mescudi, Harold Torres, Catalina Sandino Moreno",[301],N/A,2023,0.0
N/A,Candy Cane Lane,N/A,N/A,Table 5,D E C E M B E R,1.0,Amazon Studios / Imagine Entertainment,"Reginald Hudlin (director); Kelly Younger (screenplay); Eddie Murphy, Tracee Ellis Ross, Jillian Bell, Nick Offerman, Robin Thede, Chris Redd",[302],N/A,2023,0.0
N/A,Eileen,N/A,N/A,Table 5,D E C E M B E R,1.0,Neon / Film4 Productions / Likely Story,"William Oldroyd (director); Ottessa Moshfegh, Luke Goebel (screenplay); Thomasin McKenzie, Shea Whigham, Marin Ireland, Owen Teague, Anne Hathaway",[303],N/A,2023,0.0
N/A,The Shift,N/A,N/A,Table 5,D E C E M B E R,1.0,Angel Studios,"Brock Heasley (director/screenplay); Kristoffer Polaha, Neal McDonough, Elizabeth Tabish, Rose Reid, Sean Astin",[304],N/A,2023,0.0
N/A,Holiday Twist,N/A,N/A,Table 5,D E C E M B E R,1.0,ETM Distribution,"Stephanie Garvin (director/screenplay); Kelly Stables, Neal McDonough, Sean Astin, Caylee Cowan, James Maslow, Hugh Sheridan",[305],N/A,2023,0.0
N/A,Abigail,N/A,N/A,Table 5,D E C E M B E R,5.0,Dark Star Pictures,"Melissa Vitello (director); Gunnar Garrett (screenplay); Ava Cantrell, Tren Reed-Brown, Hermione Lynch, Gene Farber, Karimah Westbrook",[306],N/A,2023,0.0
N/A,Waitress: The Musical,N/A,N/A,Table 5,D E C E M B E R,7.0,Bleecker Street / Fathom Events,"Brett Sullivan, Jessie Nelson (directors); Jessie Nelson (screenplay); Sara Bareilles, Drew Gehling, Charity Angél Dawson, Caitlin Houlahan, Dakin Matthews, Christpher Fitzgerald, Joe Tippett, Eric Anderson",[307],N/A,2023,0.0
N/A,Poor Things,N/A,N/A,Table 5,D E C E M B E R,8.0,Searchlight Pictures / Film4 Productions / Element Pictures,"Yorgos Lanthimos (director); Tony McNamara (screenplay); Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Christopher Abbott, Kathryn Hunter, Jerrod Carmichael, Hanna Schygulla, Margaret Qualley, Vicki Pepperdine",[308],N/A,2023,0.0
N/A,Origin,N/A,N/A,Table 5,D E C E M B E R,8.0,Neon / ARRAY Filmworks,"Ava DuVernay (director/screenplay); Aunjanue Ellis-Taylor, Jon Bernthal, Vera Farmiga, Audra McDonald, Niecy Nash-Betts, Nick Offerman, Blair Underwood",[309],N/A,2023,0.0
N/A,Diary of a Wimpy Kid Christmas: Cabin Fever,N/A,N/A,Table 5,D E C E M B E R,8.0,Disney+ / Walt Disney Pictures / Bardel Entertainment,"Luke Cormican (director); Jeff Kinney (screenplay); Wesley Kimmel, Spencer Howell, Hunter Dillon, Erica Cerra, Chris Diamantopoulos",[310],N/A,2023,0.0
N/A,Our Son,N/A,N/A,Table 5,D E C E M B E R,8.0,Vertical Entertainment,"Bill Oliver (director/screenplay); Peter Nickowitz (screenplay); Luke Evans, Billy Porter, Christopher Woodley, Andrew Rannells, Robin Weigert, Kate Burton, Phylicia Rashad",[311],N/A,2023,0.0
N/A,The Cello,N/A,N/A,Table 5,D E C E M B E R,8.0,Destiny Media Entertainment,"Darren Lynn Bousman (director); Turki Al Alshikh (screenplay); Jeremy Irons, Samer Ismail, Elham Ali, Souad Abdullah, Tobin Bell, Muhannad Al Hamdi",[312],N/A,2023,0.0
N/A,The Oath,N/A,N/A,Table 5,D E C E M B E R,8.0,Freestyle Releasing,"Darin Scott (director/screenplay); Michelle Scott (screenplay); Darin Scott, Nora Dale, Karina Lombard, Eugene Brave Rock, Billy Zane, Philip Niu, Aron Stevens, Wase Chief",[313],N/A,2023,0.0
N/A,Craig Before the Creek,N/A,N/A,Table 5,D E C E M B E R,11.0,Warner Bros. Discovery Home Entertainment / Cartoon Network Studios,"Matt Burnett, Ben Levin (director/screenplay); Philip Solomon, Noël Wells, H. Michael Croner, Vico Ortiz, Kimberly Hébert Gregory, Byron Marc Newsome, Phil LaMarr, Lucia Cunningham",[314],N/A,2023,0.0
N/A,Wonka,N/A,N/A,Table 5,D E C E M B E R,15.0,Warner Bros. Pictures / Village Roadshow Pictures / Heyday Films,"Paul King (director/screenplay); Simon Farnaby (screenplay); Timothée Chalamet, Calah Lane, Keegan-Michael Key, Paterson Joseph, Matt Lucas, Mathew Baynton, Sally Hawkins, Rowan Atkinson, Jim Carter, Natasha Rothwell, Tom Davis, Olivia Colman, Hugh Grant",[175],N/A,2023,0.0
N/A,Chicken Run: Dawn of the Nugget,N/A,N/A,Table 5,D E C E M B E R,15.0,Netflix / Aardman Animations,"Sam Fell (director); Karey Kirkpatrick, John O'Farrell, Rachel Tunnard (screenplay); Thandiwe Newton, Zachary Levi, Bella Ramsey, Imelda Staunton, Lynn Ferguson, David Bradley, Jane Horrocks, Romesh Ranganathan, Daniel Mays, Josie Sedgwick-Davies, Nick Mohammed, Miranda Richardson, Peter Serafinowicz",[315],N/A,2023,0.0
N/A,Rebel Moon,N/A,N/A,Table 5,D E C E M B E R,15.0,Netflix / The Stone Quarry,"Zack Snyder (director/screenplay); Kurt Johnstad, Shay Hatten (screenplay); Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman, Bae Doona, Ray Fisher, Charlie Hunnam, Anthony Hopkins",[316],N/A,2023,0.0
N/A,American Fiction,N/A,N/A,Table 5,D E C E M B E R,15.0,Orion Pictures / MRC / T-Street Productions / 3 Arts Entertainment,"Cord Jefferson (director/screenplay); Jeffrey Wright, Tracee Ellis Ross, Issa Rae, Sterling K. Brown, John Ortiz, Erika Alexander, Leslie Uggams, Adam Brody, Keith David",[317],N/A,2023,0.0
N/A,The Family Plan,N/A,N/A,Table 5,D E C E M B E R,15.0,Apple TV+ / Skydance Media,"Simon Cellan Jones (director); David Coggeshall (screenplay); Mark Wahlberg, Michelle Monaghan, Saïd Taghmaoui, Maggie Q, Zoe Colletti, Van Crosby, Ciarán Hinds",[318],N/A,2023,0.0
N/A,Finestkind,N/A,N/A,Table 5,D E C E M B E R,15.0,Paramount+ / MTV Entertainment Studios,"Brian Helgeland (director/screenplay); Ben Foster, Toby Wallace, Jenna Ortega, Tommy Lee Jones",[319],N/A,2023,0.0
N/A,The Zone of Interest,N/A,N/A,Table 5,D E C E M B E R,15.0,A24 / Film4 Productions,"Jonathan Glazer (director/screenplay); Christian Friedel, Sandra Hüller",[320],N/A,2023,0.0
N/A,City of Love,N/A,N/A,Table 5,D E C E M B E R,19.0,Rotten Apple Entertainment / Freestyle Digital Media,"Èric Boadella (director/screenplay); Sara Pattarini (screenplay); Robert DeCesare, Kathryn Schott, Taylor Nichols, Mario Tardón, Myron Donley",[321],N/A,2023,0.0
N/A,Aquaman and the Lost Kingdom,N/A,N/A,Table 5,D E C E M B E R,22.0,Warner Bros. Pictures / DC Studios / Atomic Monster,"James Wan (director); David Leslie Johnson-McGoldrick (screenplay); Jason Momoa, Patrick Wilson, Amber Heard, Yahya Abdul-Mateen II, Dolph Lundgren, Randall Park, Temuera Morrison, Nicole Kidman",[322],N/A,2023,0.0
N/A,Migration,N/A,N/A,Table 5,D E C E M B E R,22.0,Universal Pictures / Illumination,"Benjamin Renner (director); Mike White (screenplay); Kumail Nanjiani, Elizabeth Banks, Awkwafina, Keegan-Michael Key, Carol Kane, David Mitchell, Isabela Merced, Caspar Jennings, Tresi Gazal, Danny DeVito",[323],N/A,2023,0.0
N/A,Anyone but You,N/A,N/A,Table 5,D E C E M B E R,22.0,Columbia Pictures / Roth/Kirschenbaum Films / SK Global,"Will Gluck (director/screenplay); Ilana Wolpert (screenplay); Sydney Sweeney, Glen Powell, Alexandra Shipp, GaTa, Hadley Robinson, Michelle Hurd, Dermot Mulroney, Darren Barnet, Rachel Griffiths, Bryan Brown",[324],N/A,2023,0.0
N/A,The Iron Claw,N/A,N/A,Table 5,D E C E M B E R,22.0,A24 / BBC Film,"Sean Durkin (director/screenplay); Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney, Stanley Simons, Lily James, Holt McCallany",[325],N/A,2023,0.0
N/A,Freud's Last Session,N/A,N/A,Table 5,D E C E M B E R,22.0,Sony Pictures Classics / Screen Ireland,"Matthew Brown (director/screenplay); Mark St. Germain (screenplay); Anthony Hopkins, Matthew Goode, Liv Lisa Fries, Jodi Balfour, Jeremy Northam, Orla Brady",[326],N/A,2023,0.0
N/A,Memory,N/A,N/A,Table 5,D E C E M B E R,22.0,Ketchup Entertainment / Mubi,"Michel Franco (director/screenplay); Jessica Chastain, Peter Sarsgaard, Merritt Wever, Brooke Timber, Elsie Fisher, Josh Charles, Jessica Harper",[327],N/A,2023,0.0
N/A,The Color Purple,N/A,N/A,Table 5,D E C E M B E R,25.0,Warner Bros. Pictures / Amblin Entertainment / OW Films,"Blitz Bazawule (director), Marcus Gardley (screenplay); Fantasia Barrino, Taraji P. Henson, Danielle Brooks, Colman Domingo, Corey Hawkins, H.E.R., Halle Bailey, Louis Gossett Jr., Phylicia Pearl Mpasi, Ciara, Jon Batiste, Aunjanue Ellis-Taylor",[328],N/A,2023,0.0
N/A,The Boys in the Boat,N/A,N/A,Table 5,D E C E M B E R,25.0,Metro-Goldwyn-Mayer / Smokehouse Pictures,"George Clooney (director), Mark L. Smith (screenplay); Callum Turner, Joel Edgerton, Peter Guinness",[329],N/A,2023,0.0
N/A,Ferrari,N/A,N/A,Table 5,D E C E M B E R,25.0,Neon / STXfilms / Ketchup Entertainment,"Michael Mann (director), Troy Kennedy Martin (screenplay); Adam Driver, Penelope Cruz, Shailene Woodley, Sarah Gadon, Gabriel Leone, Jack O'Connell, Patrick Dempsey",[330],N/A,2023,0.0
N/A,Good Grief,N/A,N/A,Table 5,D E C E M B E R,29.0,Netflix,"Dan Levy (director/screenplay); Dan Levy, Ruth Negga, Himesh Patel, Celia Imrie, David Bradley, Arnaud Valois, Luke Evans",[331],N/A,2023,0.0
